mpicxx -O2 -std=c++20 -o bin/mpi_ids src/mpi_ids.cpp -lm
Built: mpi_ids
=== Network IDS: MPI (2 processes) ===
Train: 100000 | Test: 50000 | Features: 52 | Classes: 7
  SVM(0v2) Epoch 61/200 | Errors: 6/5000
  SVM(0v2) Epoch 64/200 | Errors: 4/5000
  SVM(0v2) Epoch 62/200 | Errors: 4/5000
  SVM(0v2) Epoch 65/200 | Errors: 4/5000
  SVM(0v2) Epoch 63/200 | Errors: 4/5000
  SVM(0v2) Epoch 66/200 | Errors: 4/5000
  SVM(0v2) Epoch 64/200 | Errors: 4/5000
  SVM(0v2) Epoch 67/200 | Errors: 4/5000
  SVM(0v2) Epoch 65/200 | Errors: 4/5000
  SVM(0v2) Epoch 68/200 | Errors: 4/5000
  SVM(0v2) Epoch 66/200 | Errors: 4/5000
  SVM(0v2) Epoch 69/200 | Errors: 4/5000
  SVM(0v2) Epoch 67/200 | Errors: 4/5000
  SVM(0v2) Epoch 70/200 | Errors: 4/5000
  SVM(0v2) Epoch 68/200 | Errors: 4/5000
  SVM(0v2) Epoch 71/200 | Errors: 4/5000
  SVM(0v2) Epoch 69/200 | Errors: 4/5000
  SVM(0v2) Epoch 72/200 | Errors: 4/5000
  SVM(0v2) Epoch 70/200 | Errors: 4/5000
  SVM(0v2) Epoch 73/200 | Errors: 4/5000
  SVM(0v2) Epoch 71/200 | Errors: 4/5000
  SVM(0v2) Epoch 74/200 | Errors: 4/5000
  SVM(0v2) Epoch 72/200 | Errors: 4/5000
  SVM(0v2) Epoch 75/200 | Errors: 4/5000
  SVM(0v2) Epoch 73/200 | Errors: 4/5000
  SVM(0v2) Epoch 76/200 | Errors: 4/5000
  SVM(0v2) Epoch 74/200 | Errors: 4/5000
  SVM(0v2) Epoch 77/200 | Errors: 4/5000
  SVM(0v2) Epoch 75/200 | Errors: 4/5000
  SVM(0v2) Epoch 78/200 | Errors: 4/5000
  SVM(0v2) Epoch 76/200 | Errors: 4/5000
  SVM(0v2) Epoch 79/200 | Errors: 4/5000
  SVM(0v2) Epoch 77/200 | Errors: 4/5000
  SVM(0v2) Epoch 80/200 | Errors: 4/5000
  SVM(0v2) Epoch 78/200 | Errors: 4/5000
  SVM(0v2) Epoch 81/200 | Errors: 4/5000
  SVM(0v2) Epoch 79/200 | Errors: 4/5000
  SVM(0v2) Epoch 82/200 | Errors: 4/5000
  SVM(0v2) Epoch 80/200 | Errors: 4/5000
  SVM(0v2) Epoch 83/200 | Errors: 4/5000
  SVM(0v2) Epoch 81/200 | Errors: 4/5000
  SVM(0v2) Epoch 84/200 | Errors: 4/5000
  SVM(0v2) Epoch 82/200 | Errors: 4/5000
  SVM(0v2) Epoch 85/200 | Errors: 4/5000
  SVM(0v2) Epoch 83/200 | Errors: 4/5000
  SVM(0v2) Epoch 86/200 | Errors: 4/5000
  SVM(0v2) Epoch 84/200 | Errors: 4/5000
  SVM(0v2) Epoch 87/200 | Errors: 4/5000
  SVM(0v2) Epoch 85/200 | Errors: 4/5000
  SVM(0v2) Epoch 88/200 | Errors: 4/5000
  SVM(0v2) Epoch 86/200 | Errors: 4/5000
  SVM(0v2) Epoch 89/200 | Errors: 4/5000
  SVM(0v2) Epoch 87/200 | Errors: 4/5000
  SVM(0v2) Epoch 90/200 | Errors: 4/5000
  SVM(0v2) Epoch 88/200 | Errors: 4/5000
  SVM(0v2) Epoch 91/200 | Errors: 4/5000
  SVM(0v2) Epoch 89/200 | Errors: 4/5000
  SVM(0v2) Epoch 92/200 | Errors: 4/5000
  SVM(0v2) Epoch 90/200 | Errors: 4/5000
  SVM(0v2) Epoch 93/200 | Errors: 4/5000
  SVM(0v2) Epoch 91/200 | Errors: 4/5000
  SVM(0v2) Epoch 94/200 | Errors: 4/5000
  SVM(0v2) Epoch 92/200 | Errors: 4/5000
  SVM(0v2) Epoch 95/200 | Errors: 4/5000
  SVM(0v2) Epoch 93/200 | Errors: 4/5000
  SVM(0v2) Epoch 96/200 | Errors: 4/5000
  SVM(0v2) Epoch 94/200 | Errors: 4/5000
  SVM(0v2) Epoch 97/200 | Errors: 4/5000
  SVM(0v2) Epoch 95/200 | Errors: 4/5000
  SVM(0v2) Epoch 98/200 | Errors: 4/5000
  SVM(0v2) Epoch 96/200 | Errors: 4/5000
  SVM(0v2) Epoch 99/200 | Errors: 4/5000
  SVM(0v2) Epoch 97/200 | Errors: 4/5000
  SVM(0v2) Epoch 100/200 | Errors: 4/5000
  SVM(0v2) Epoch 98/200 | Errors: 4/5000
  SVM(0v2) Epoch 101/200 | Errors: 2/5000
  SVM(0v2) Epoch 99/200 | Errors: 4/5000
  SVM(0v2) Epoch 102/200 | Errors: 8/5000
  SVM(0v2) Epoch 100/200 | Errors: 4/5000
  SVM(0v2) Epoch 103/200 | Errors: 8/5000
  SVM(0v2) Epoch 101/200 | Errors: 2/5000
  SVM(0v2) Epoch 104/200 | Errors: 8/5000
  SVM(0v2) Epoch 102/200 | Errors: 8/5000
  SVM(0v2) Epoch 105/200 | Errors: 8/5000
  SVM(0v2) Epoch 103/200 | Errors: 8/5000
  SVM(0v2) Epoch 106/200 | Errors: 8/5000
  SVM(0v2) Epoch 104/200 | Errors: 8/5000
  SVM(0v2) Epoch 107/200 | Errors: 6/5000
  SVM(0v2) Epoch 105/200 | Errors: 8/5000
  SVM(0v2) Epoch 108/200 | Errors: 6/5000
  SVM(0v2) Epoch 106/200 | Errors: 8/5000
  SVM(0v2) Epoch 109/200 | Errors: 6/5000
  SVM(0v2) Epoch 107/200 | Errors: 6/5000
  SVM(0v2) Epoch 110/200 | Errors: 4/5000
  SVM(0v2) Epoch 108/200 | Errors: 6/5000
  SVM(0v2) Epoch 111/200 | Errors: 4/5000
  SVM(0v2) Epoch 109/200 | Errors: 6/5000
  SVM(0v2) Epoch 112/200 | Errors: 4/5000
  SVM(0v2) Epoch 110/200 | Errors: 4/5000
  SVM(0v2) Epoch 113/200 | Errors: 4/5000
  SVM(0v2) Epoch 111/200 | Errors: 4/5000
  SVM(0v2) Epoch 114/200 | Errors: 4/5000
  SVM(0v2) Epoch 112/200 | Errors: 4/5000
  SVM(0v2) Epoch 115/200 | Errors: 4/5000
  SVM(0v2) Epoch 113/200 | Errors: 4/5000
  SVM(0v2) Epoch 116/200 | Errors: 4/5000
  SVM(0v2) Epoch 114/200 | Errors: 4/5000
  SVM(0v2) Epoch 117/200 | Errors: 4/5000
  SVM(0v2) Epoch 115/200 | Errors: 4/5000
  SVM(0v2) Epoch 118/200 | Errors: 4/5000
  SVM(0v2) Epoch 116/200 | Errors: 4/5000
  SVM(0v2) Epoch 119/200 | Errors: 4/5000
  SVM(0v2) Epoch 117/200 | Errors: 4/5000
  SVM(0v2) Epoch 120/200 | Errors: 4/5000
  SVM(0v2) Epoch 118/200 | Errors: 4/5000
  SVM(0v2) Epoch 121/200 | Errors: 4/5000
  SVM(0v2) Epoch 119/200 | Errors: 4/5000
  SVM(0v2) Epoch 122/200 | Errors: 4/5000
  SVM(0v2) Epoch 120/200 | Errors: 4/5000
  SVM(0v2) Epoch 123/200 | Errors: 4/5000
  SVM(0v2) Epoch 121/200 | Errors: 4/5000
  SVM(0v2) Epoch 124/200 | Errors: 4/5000
  SVM(0v2) Epoch 122/200 | Errors: 4/5000
  SVM(0v2) Epoch 125/200 | Errors: 4/5000
  SVM(0v2) Epoch 123/200 | Errors: 4/5000
  SVM(0v2) Epoch 126/200 | Errors: 4/5000
  SVM(0v2) Epoch 124/200 | Errors: 4/5000
  SVM(0v2) Epoch 127/200 | Errors: 4/5000
  SVM(0v2) Epoch 125/200 | Errors: 4/5000
  SVM(0v2) Epoch 128/200 | Errors: 4/5000
  SVM(0v2) Epoch 126/200 | Errors: 4/5000
  SVM(0v2) Epoch 129/200 | Errors: 4/5000
  SVM(0v2) Epoch 127/200 | Errors: 4/5000
  SVM(0v2) Epoch 130/200 | Errors: 4/5000
  SVM(0v2) Epoch 128/200 | Errors: 4/5000
  SVM(0v2) Epoch 131/200 | Errors: 4/5000
  SVM(0v2) Epoch 129/200 | Errors: 4/5000
  SVM(0v2) Epoch 132/200 | Errors: 4/5000
  SVM(0v2) Epoch 130/200 | Errors: 4/5000
  SVM(0v2) Epoch 133/200 | Errors: 4/5000
  SVM(0v2) Epoch 131/200 | Errors: 4/5000
  SVM(0v2) Epoch 134/200 | Errors: 4/5000
  SVM(0v2) Epoch 132/200 | Errors: 4/5000
  SVM(0v2) Epoch 135/200 | Errors: 4/5000
  SVM(0v2) Epoch 133/200 | Errors: 4/5000
  SVM(0v2) Epoch 136/200 | Errors: 4/5000
  SVM(0v2) Epoch 134/200 | Errors: 4/5000
  SVM(0v2) Epoch 137/200 | Errors: 4/5000
  SVM(0v2) Epoch 135/200 | Errors: 4/5000
  SVM(0v2) Epoch 138/200 | Errors: 4/5000
  SVM(0v2) Epoch 136/200 | Errors: 4/5000
  SVM(0v2) Epoch 139/200 | Errors: 4/5000
  SVM(0v2) Epoch 137/200 | Errors: 4/5000
  SVM(0v2) Epoch 140/200 | Errors: 4/5000
  SVM(0v2) Epoch 138/200 | Errors: 4/5000
  SVM(0v2) Epoch 141/200 | Errors: 4/5000
  SVM(0v2) Epoch 139/200 | Errors: 4/5000
  SVM(0v2) Epoch 142/200 | Errors: 4/5000
  SVM(0v2) Epoch 140/200 | Errors: 4/5000
  SVM(0v2) Epoch 143/200 | Errors: 4/5000
  SVM(0v2) Epoch 141/200 | Errors: 4/5000
  SVM(0v2) Epoch 144/200 | Errors: 4/5000
  SVM(0v2) Epoch 142/200 | Errors: 4/5000
  SVM(0v2) Epoch 145/200 | Errors: 4/5000
  SVM(0v2) Epoch 143/200 | Errors: 4/5000
  SVM(0v2) Epoch 146/200 | Errors: 4/5000
  SVM(0v2) Epoch 144/200 | Errors: 4/5000
  SVM(0v2) Epoch 147/200 | Errors: 4/5000
  SVM(0v2) Epoch 145/200 | Errors: 4/5000
  SVM(0v2) Epoch 148/200 | Errors: 4/5000
  SVM(0v2) Epoch 146/200 | Errors: 4/5000
  SVM(0v2) Epoch 149/200 | Errors: 4/5000
  SVM(0v2) Epoch 147/200 | Errors: 4/5000
  SVM(0v2) Epoch 150/200 | Errors: 4/5000
  SVM(0v2) Epoch 148/200 | Errors: 4/5000
  SVM(0v2) Epoch 151/200 | Errors: 4/5000
  SVM(0v2) Epoch 149/200 | Errors: 4/5000
  SVM(0v2) Epoch 152/200 | Errors: 2/5000
  SVM(0v2) Epoch 150/200 | Errors: 4/5000
  SVM(0v2) Epoch 153/200 | Errors: 0/5000
  SVM(0v2) Epoch 151/200 | Errors: 4/5000
  SVM(0v2) Epoch 152/200 | Errors: 2/5000
  SVM(0v2) Epoch 153/200 | Errors: 0/5000
  SVM(0v3) Epoch 1/200 | Errors: 63/5000
  SVM(0v3) Epoch 2/200 | Errors: 22/5000
  SVM(0v3) Epoch 3/200 | Errors: 22/5000
  SVM(0v3) Epoch 4/200 | Errors: 28/5000
  SVM(0v3) Epoch 5/200 | Errors: 18/5000
  SVM(0v3) Epoch 6/200 | Errors: 37/5000
  SVM(0v3) Epoch 1/200 | Errors: 63/5000
  SVM(0v3) Epoch 7/200 | Errors: 54/5000
  SVM(0v3) Epoch 2/200 | Errors: 22/5000
  SVM(0v3) Epoch 8/200 | Errors: 42/5000
  SVM(0v3) Epoch 3/200 | Errors: 22/5000
  SVM(0v3) Epoch 9/200 | Errors: 26/5000
  SVM(0v3) Epoch 4/200 | Errors: 28/5000
  SVM(0v3) Epoch 10/200 | Errors: 24/5000
  SVM(0v3) Epoch 5/200 | Errors: 18/5000
  SVM(0v3) Epoch 11/200 | Errors: 16/5000
  SVM(0v3) Epoch 6/200 | Errors: 37/5000
  SVM(0v3) Epoch 12/200 | Errors: 16/5000
  SVM(0v3) Epoch 7/200 | Errors: 54/5000
  SVM(0v3) Epoch 13/200 | Errors: 18/5000
  SVM(0v3) Epoch 8/200 | Errors: 42/5000
  SVM(0v3) Epoch 14/200 | Errors: 18/5000
  SVM(0v3) Epoch 9/200 | Errors: 26/5000
  SVM(0v3) Epoch 15/200 | Errors: 20/5000
  SVM(0v3) Epoch 10/200 | Errors: 24/5000
  SVM(0v3) Epoch 16/200 | Errors: 20/5000
  SVM(0v3) Epoch 11/200 | Errors: 16/5000
  SVM(0v3) Epoch 17/200 | Errors: 18/5000
  SVM(0v3) Epoch 12/200 | Errors: 16/5000
  SVM(0v3) Epoch 18/200 | Errors: 18/5000
  SVM(0v3) Epoch 13/200 | Errors: 18/5000
