g++ -O2 -std=c++20 -pthread -o bin/cpp_thread src/cpp_thread.cpp -lm
Built: cpp_thread
=== Network IDS: C++ Thread (8 threads) ===
Train: 1764525 | Test: 756226 | Features: 52 | Classes: 7

--- SVM Training ---
  SVM(0v6) Epoch 5/200 | Train Errors: 56/2295 | Val Errors: 1/574
  SVM(0v6) Epoch 6/200 | Train Errors: 50/2295 | Val Errors: 2/574
  SVM(0v6) Epoch 7/200 | Train Errors: 44/2295 | Val Errors: 1/574
  SVM(0v6) Epoch 8/200 | Train Errors: 22/2295 | Val Errors: 1/574
  SVM(0v6) Epoch 9/200 | Train Errors: 18/2295 | Val Errors: 1/574
  SVM(0v6) Epoch 10/200 | Train Errors: 20/2295 | Val Errors: 3/574
  SVM(0v6) Epoch 11/200 | Train Errors: 14/2295 | Val Errors: 1/574
  SVM(0v6) Epoch 12/200 | Train Errors: 22/2295 | Val Errors: 1/574
  SVM(0v6) Epoch 13/200 | Train Errors: 20/2295 | Val Errors: 3/574
  SVM(0v6) Epoch 14/200 | Train Errors: 8/2295 | Val Errors: 0/574
  SVM(0v6) Epoch 15/200 | Train Errors: 4/2295 | Val Errors: 0/574
  SVM(0v6) Epoch 16/200 | Train Errors: 12/2295 | Val Errors: 3/574
  SVM(0v6) Epoch 17/200 | Train Errors: 12/2295 | Val Errors: 0/574
  SVM(0v6) Epoch 18/200 | Train Errors: 4/2295 | Val Errors: 0/574
  SVM(0v6) Epoch 19/200 | Train Errors: 8/2295 | Val Errors: 2/574
  SVM(0v6) Epoch 20/200 | Train Errors: 41/2295 | Val Errors: 26/574
  SVM(0v6) Epoch 21/200 | Train Errors: 86/2295 | Val Errors: 26/574
  SVM(0v6) Epoch 22/200 | Train Errors: 86/2295 | Val Errors: 26/574
  SVM(0v6) Epoch 23/200 | Train Errors: 86/2295 | Val Errors: 26/574
  SVM(0v6) Epoch 24/200 | Train Errors: 88/2295 | Val Errors: 26/574
  SVM(0v6) Epoch 25/200 | Train Errors: 84/2295 | Val Errors: 28/574
  SVM(0v6) Epoch 26/200 | Train Errors: 82/2295 | Val Errors: 29/574
  SVM(0v6) Epoch 27/200 | Train Errors: 82/2295 | Val Errors: 26/574
  SVM(0v6) Epoch 28/200 | Train Errors: 86/2295 | Val Errors: 26/574
  SVM(0v6) Epoch 29/200 | Train Errors: 84/2295 | Val Errors: 26/574
  Early stopping at epoch 29 (best val errors=0)
  SVM(1v2) Epoch 1/200 | Train Errors: 275/8000 | Val Errors: 32/2000
  SVM(1v2) Epoch 2/200 | Train Errors: 236/8000 | Val Errors: 33/2000
  SVM(1v2) Epoch 3/200 | Train Errors: 234/8000 | Val Errors: 33/2000
  SVM(1v2) Epoch 4/200 | Train Errors: 236/8000 | Val Errors: 34/2000
  SVM(1v2) Epoch 5/200 | Train Errors: 236/8000 | Val Errors: 34/2000
  SVM(1v2) Epoch 6/200 | Train Errors: 216/8000 | Val Errors: 34/2000
  SVM(1v2) Epoch 7/200 | Train Errors: 200/8000 | Val Errors: 34/2000
  SVM(1v2) Epoch 8/200 | Train Errors: 196/8000 | Val Errors: 34/2000
  SVM(1v2) Epoch 9/200 | Train Errors: 194/8000 | Val Errors: 34/2000
  SVM(1v2) Epoch 10/200 | Train Errors: 170/8000 | Val Errors: 34/2000
  SVM(1v2) Epoch 11/200 | Train Errors: 182/8000 | Val Errors: 33/2000
  SVM(1v2) Epoch 12/200 | Train Errors: 160/8000 | Val Errors: 33/2000
  SVM(1v2) Epoch 13/200 | Train Errors: 174/8000 | Val Errors: 33/2000
  SVM(1v2) Epoch 14/200 | Train Errors: 152/8000 | Val Errors: 33/2000
  SVM(1v2) Epoch 15/200 | Train Errors: 162/8000 | Val Errors: 33/2000
  SVM(1v2) Epoch 16/200 | Train Errors: 162/8000 | Val Errors: 33/2000
  Early stopping at epoch 16 (best val errors=32)
  SVM(1v3) Epoch 1/200 | Train Errors: 354/8000 | Val Errors: 44/2000
  SVM(1v3) Epoch 2/200 | Train Errors: 287/8000 | Val Errors: 43/2000
  SVM(1v3) Epoch 3/200 | Train Errors: 258/8000 | Val Errors: 43/2000
  SVM(1v3) Epoch 4/200 | Train Errors: 252/8000 | Val Errors: 43/2000
  SVM(1v3) Epoch 5/200 | Train Errors: 265/8000 | Val Errors: 29/2000
  SVM(1v3) Epoch 6/200 | Train Errors: 224/8000 | Val Errors: 26/2000
  SVM(1v3) Epoch 7/200 | Train Errors: 200/8000 | Val Errors: 26/2000
  SVM(1v3) Epoch 8/200 | Train Errors: 204/8000 | Val Errors: 26/2000
  SVM(1v3) Epoch 9/200 | Train Errors: 206/8000 | Val Errors: 46/2000
  SVM(1v3) Epoch 10/200 | Train Errors: 198/8000 | Val Errors: 26/2000
  SVM(1v3) Epoch 11/200 | Train Errors: 206/8000 | Val Errors: 43/2000
  SVM(1v3) Epoch 12/200 | Train Errors: 251/8000 | Val Errors: 30/2000
  SVM(1v3) Epoch 13/200 | Train Errors: 184/8000 | Val Errors: 26/2000
  SVM(1v3) Epoch 14/200 | Train Errors: 192/8000 | Val Errors: 26/2000
  SVM(1v3) Epoch 15/200 | Train Errors: 190/8000 | Val Errors: 26/2000
  SVM(1v3) Epoch 16/200 | Train Errors: 186/8000 | Val Errors: 26/2000
  SVM(1v3) Epoch 17/200 | Train Errors: 190/8000 | Val Errors: 26/2000
  SVM(1v3) Epoch 18/200 | Train Errors: 188/8000 | Val Errors: 26/2000
  SVM(1v3) Epoch 19/200 | Train Errors: 190/8000 | Val Errors: 26/2000
  SVM(1v3) Epoch 20/200 | Train Errors: 188/8000 | Val Errors: 26/2000
  SVM(1v3) Epoch 21/200 | Train Errors: 182/8000 | Val Errors: 30/2000
  Early stopping at epoch 21 (best val errors=26)
  SVM(1v4) Epoch 1/200 | Train Errors: 70/8000 | Val Errors: 8/2000
  SVM(1v4) Epoch 2/200 | Train Errors: 66/8000 | Val Errors: 8/2000
  SVM(1v4) Epoch 3/200 | Train Errors: 66/8000 | Val Errors: 8/2000
  SVM(1v4) Epoch 4/200 | Train Errors: 60/8000 | Val Errors: 4/2000
  SVM(1v4) Epoch 5/200 | Train Errors: 61/8000 | Val Errors: 8/2000
  SVM(1v4) Epoch 6/200 | Train Errors: 68/8000 | Val Errors: 8/2000
  SVM(1v4) Epoch 7/200 | Train Errors: 60/8000 | Val Errors: 5/2000
  SVM(1v4) Epoch 8/200 | Train Errors: 59/8000 | Val Errors: 8/2000
  SVM(1v4) Epoch 9/200 | Train Errors: 62/8000 | Val Errors: 8/2000
  SVM(1v4) Epoch 10/200 | Train Errors: 66/8000 | Val Errors: 8/2000
  SVM(1v4) Epoch 11/200 | Train Errors: 48/8000 | Val Errors: 4/2000
  SVM(1v4) Epoch 12/200 | Train Errors: 59/8000 | Val Errors: 8/2000
  SVM(1v4) Epoch 13/200 | Train Errors: 52/8000 | Val Errors: 8/2000
  SVM(1v4) Epoch 14/200 | Train Errors: 64/8000 | Val Errors: 8/2000
  SVM(1v4) Epoch 15/200 | Train Errors: 68/8000 | Val Errors: 8/2000
  SVM(1v4) Epoch 16/200 | Train Errors: 42/8000 | Val Errors: 3/2000
  SVM(1v4) Epoch 17/200 | Train Errors: 44/8000 | Val Errors: 5/2000
  SVM(1v4) Epoch 18/200 | Train Errors: 53/8000 | Val Errors: 8/2000
  SVM(1v4) Epoch 19/200 | Train Errors: 62/8000 | Val Errors: 8/2000
  SVM(1v4) Epoch 20/200 | Train Errors: 66/8000 | Val Errors: 8/2000
  SVM(1v4) Epoch 21/200 | Train Errors: 44/8000 | Val Errors: 8/2000
  SVM(1v4) Epoch 22/200 | Train Errors: 55/8000 | Val Errors: 8/2000
  SVM(1v4) Epoch 23/200 | Train Errors: 31/8000 | Val Errors: 8/2000
  SVM(1v4) Epoch 24/200 | Train Errors: 45/8000 | Val Errors: 8/2000
  SVM(1v4) Epoch 25/200 | Train Errors: 32/8000 | Val Errors: 8/2000
  SVM(1v4) Epoch 26/200 | Train Errors: 50/8000 | Val Errors: 8/2000
  SVM(1v4) Epoch 27/200 | Train Errors: 66/8000 | Val Errors: 8/2000
  SVM(1v4) Epoch 28/200 | Train Errors: 66/8000 | Val Errors: 8/2000
  SVM(1v4) Epoch 29/200 | Train Errors: 44/8000 | Val Errors: 4/2000
  SVM(1v4) Epoch 30/200 | Train Errors: 34/8000 | Val Errors: 8/2000
  SVM(1v4) Epoch 31/200 | Train Errors: 40/8000 | Val Errors: 5/2000
  Early stopping at epoch 31 (best val errors=3)
  SVM(1v5) Epoch 1/200 | Train Errors: 509/8000 | Val Errors: 7/2000
  SVM(1v5) Epoch 2/200 | Train Errors: 393/8000 | Val Errors: 54/2000
  SVM(1v5) Epoch 3/200 | Train Errors: 58/8000 | Val Errors: 41/2000
  SVM(1v5) Epoch 4/200 | Train Errors: 349/8000 | Val Errors: 40/2000
  SVM(1v5) Epoch 5/200 | Train Errors: 60/8000 | Val Errors: 4/2000
  SVM(1v5) Epoch 6/200 | Train Errors: 40/8000 | Val Errors: 3/2000
  SVM(1v5) Epoch 7/200 | Train Errors: 56/8000 | Val Errors: 40/2000
  SVM(1v5) Epoch 8/200 | Train Errors: 252/8000 | Val Errors: 246/2000
  SVM(1v5) Epoch 9/200 | Train Errors: 107/8000 | Val Errors: 13/2000
  SVM(1v5) Epoch 10/200 | Train Errors: 30/8000 | Val Errors: 4/2000
  SVM(1v5) Epoch 11/200 | Train Errors: 34/8000 | Val Errors: 1/2000
  SVM(1v5) Epoch 12/200 | Train Errors: 22/8000 | Val Errors: 5/2000
  SVM(1v5) Epoch 13/200 | Train Errors: 22/8000 | Val Errors: 1/2000
  SVM(1v5) Epoch 14/200 | Train Errors: 26/8000 | Val Errors: 1/2000
  SVM(1v5) Epoch 15/200 | Train Errors: 24/8000 | Val Errors: 4/2000
  SVM(1v5) Epoch 16/200 | Train Errors: 28/8000 | Val Errors: 1/2000
  SVM(1v5) Epoch 17/200 | Train Errors: 22/8000 | Val Errors: 6/2000
  SVM(1v5) Epoch 18/200 | Train Errors: 24/8000 | Val Errors: 1/2000
  SVM(1v5) Epoch 19/200 | Train Errors: 22/8000 | Val Errors: 1/2000
  SVM(1v5) Epoch 20/200 | Train Errors: 24/8000 | Val Errors: 1/2000
  SVM(1v5) Epoch 21/200 | Train Errors: 26/8000 | Val Errors: 0/2000
  SVM(1v5) Epoch 22/200 | Train Errors: 22/8000 | Val Errors: 0/2000
  SVM(1v5) Epoch 23/200 | Train Errors: 34/8000 | Val Errors: 4/2000
  SVM(1v5) Epoch 24/200 | Train Errors: 32/8000 | Val Errors: 0/2000
  SVM(1v5) Epoch 25/200 | Train Errors: 22/8000 | Val Errors: 0/2000
  SVM(1v5) Epoch 26/200 | Train Errors: 22/8000 | Val Errors: 0/2000
  SVM(1v5) Epoch 27/200 | Train Errors: 22/8000 | Val Errors: 2/2000
  SVM(1v5) Epoch 28/200 | Train Errors: 20/8000 | Val Errors: 3/2000
  SVM(1v5) Epoch 29/200 | Train Errors: 28/8000 | Val Errors: 2/2000
  SVM(1v5) Epoch 30/200 | Train Errors: 30/8000 | Val Errors: 2/2000
  SVM(1v5) Epoch 31/200 | Train Errors: 32/8000 | Val Errors: 3/2000
  SVM(1v5) Epoch 32/200 | Train Errors: 26/8000 | Val Errors: 2/2000
  SVM(1v5) Epoch 33/200 | Train Errors: 24/8000 | Val Errors: 2/2000
  SVM(1v5) Epoch 34/200 | Train Errors: 26/8000 | Val Errors: 2/2000
  SVM(1v5) Epoch 35/200 | Train Errors: 22/8000 | Val Errors: 3/2000
  SVM(1v5) Epoch 36/200 | Train Errors: 33/8000 | Val Errors: 2/2000
  Early stopping at epoch 36 (best val errors=0)
  SVM(1v6) Epoch 1/200 | Train Errors: 435/6324 | Val Errors: 32/1581
  SVM(1v6) Epoch 2/200 | Train Errors: 292/6324 | Val Errors: 47/1581
  SVM(1v6) Epoch 3/200 | Train Errors: 278/6324 | Val Errors: 47/1581
  SVM(1v6) Epoch 4/200 | Train Errors: 256/6324 | Val Errors: 40/1581
  SVM(1v6) Epoch 5/200 | Train Errors: 244/6324 | Val Errors: 43/1581
  SVM(1v6) Epoch 6/200 | Train Errors: 254/6324 | Val Errors: 40/1581
  SVM(1v6) Epoch 7/200 | Train Errors: 242/6324 | Val Errors: 40/1581
  SVM(1v6) Epoch 8/200 | Train Errors: 224/6324 | Val Errors: 39/1581
  SVM(1v6) Epoch 9/200 | Train Errors: 246/6324 | Val Errors: 30/1581
  SVM(1v6) Epoch 10/200 | Train Errors: 244/6324 | Val Errors: 38/1581
  SVM(1v6) Epoch 11/200 | Train Errors: 234/6324 | Val Errors: 38/1581
  SVM(1v6) Epoch 12/200 | Train Errors: 214/6324 | Val Errors: 29/1581
  SVM(1v6) Epoch 13/200 | Train Errors: 215/6324 | Val Errors: 39/1581
  SVM(1v6) Epoch 14/200 | Train Errors: 214/6324 | Val Errors: 39/1581
  SVM(1v6) Epoch 15/200 | Train Errors: 214/6324 | Val Errors: 39/1581
  SVM(1v6) Epoch 16/200 | Train Errors: 214/6324 | Val Errors: 39/1581
  SVM(1v6) Epoch 17/200 | Train Errors: 224/6324 | Val Errors: 39/1581
  SVM(1v6) Epoch 18/200 | Train Errors: 228/6324 | Val Errors: 39/1581
  SVM(1v6) Epoch 19/200 | Train Errors: 218/6324 | Val Errors: 39/1581
  SVM(1v6) Epoch 20/200 | Train Errors: 224/6324 | Val Errors: 45/1581
  SVM(1v6) Epoch 21/200 | Train Errors: 228/6324 | Val Errors: 44/1581
  SVM(1v6) Epoch 22/200 | Train Errors: 228/6324 | Val Errors: 43/1581
  SVM(1v6) Epoch 23/200 | Train Errors: 224/6324 | Val Errors: 39/1581
  SVM(1v6) Epoch 24/200 | Train Errors: 220/6324 | Val Errors: 39/1581
  SVM(1v6) Epoch 25/200 | Train Errors: 230/6324 | Val Errors: 39/1581
  SVM(1v6) Epoch 26/200 | Train Errors: 200/6324 | Val Errors: 39/1581
  SVM(1v6) Epoch 27/200 | Train Errors: 224/6324 | Val Errors: 37/1581
  Early stopping at epoch 27 (best val errors=29)
  SVM(2v3) Epoch 1/200 | Train Errors: 1119/8000 | Val Errors: 125/2000
