g++ -O2 -std=c++20 -fopenmp -o bin/openmp src/openmp.cpp -lm
Built: openmp
=== Network IDS: OpenMP (8 threads) ===
Train: 1764525 | Test: 756226 | Features: 52 | Classes: 7
  SVM(0v4) Epoch 153/200 | Errors: 22/10000
  SVM(0v4) Epoch 154/200 | Errors: 22/10000
  SVM(0v4) Epoch 155/200 | Errors: 22/10000
  SVM(0v4) Epoch 156/200 | Errors: 22/10000
  SVM(0v4) Epoch 157/200 | Errors: 22/10000
  SVM(0v4) Epoch 158/200 | Errors: 22/10000
  SVM(0v4) Epoch 159/200 | Errors: 22/10000
  SVM(0v4) Epoch 160/200 | Errors: 22/10000
  SVM(0v4) Epoch 161/200 | Errors: 24/10000
  SVM(0v4) Epoch 162/200 | Errors: 20/10000
  SVM(0v4) Epoch 163/200 | Errors: 24/10000
  SVM(0v4) Epoch 164/200 | Errors: 22/10000
  SVM(0v4) Epoch 165/200 | Errors: 22/10000
  SVM(0v4) Epoch 166/200 | Errors: 24/10000
  SVM(0v4) Epoch 167/200 | Errors: 22/10000
  SVM(0v4) Epoch 168/200 | Errors: 22/10000
  SVM(0v4) Epoch 169/200 | Errors: 22/10000
  SVM(0v4) Epoch 170/200 | Errors: 22/10000
  SVM(0v4) Epoch 171/200 | Errors: 24/10000
  SVM(0v4) Epoch 172/200 | Errors: 24/10000
  SVM(0v4) Epoch 173/200 | Errors: 24/10000
  SVM(0v4) Epoch 174/200 | Errors: 24/10000
  SVM(0v4) Epoch 175/200 | Errors: 24/10000
  SVM(0v4) Epoch 176/200 | Errors: 25/10000
  SVM(0v4) Epoch 177/200 | Errors: 25/10000
  SVM(0v4) Epoch 178/200 | Errors: 24/10000
  SVM(0v4) Epoch 179/200 | Errors: 25/10000
  SVM(0v4) Epoch 180/200 | Errors: 23/10000
  SVM(0v4) Epoch 181/200 | Errors: 24/10000
  SVM(0v4) Epoch 182/200 | Errors: 25/10000
  SVM(0v4) Epoch 183/200 | Errors: 23/10000
  SVM(0v4) Epoch 184/200 | Errors: 24/10000
  SVM(0v4) Epoch 185/200 | Errors: 25/10000
  SVM(0v4) Epoch 186/200 | Errors: 25/10000
  SVM(0v4) Epoch 187/200 | Errors: 24/10000
  SVM(0v4) Epoch 188/200 | Errors: 25/10000
  SVM(0v4) Epoch 189/200 | Errors: 23/10000
  SVM(0v4) Epoch 190/200 | Errors: 24/10000
  SVM(0v4) Epoch 191/200 | Errors: 24/10000
  SVM(0v4) Epoch 192/200 | Errors: 24/10000
  SVM(0v4) Epoch 193/200 | Errors: 24/10000
  SVM(0v4) Epoch 194/200 | Errors: 24/10000
  SVM(0v4) Epoch 195/200 | Errors: 24/10000
  SVM(0v4) Epoch 196/200 | Errors: 24/10000
  SVM(0v4) Epoch 197/200 | Errors: 24/10000
  SVM(0v4) Epoch 198/200 | Errors: 26/10000
  SVM(0v4) Epoch 199/200 | Errors: 24/10000
  SVM(0v4) Epoch 200/200 | Errors: 24/10000
  SVM(0v5) Epoch 1/200 | Errors: 300/10000
  SVM(0v5) Epoch 2/200 | Errors: 287/10000
  SVM(0v5) Epoch 3/200 | Errors: 292/10000
  SVM(0v5) Epoch 4/200 | Errors: 283/10000
